Description,Type,IOC
VBS Downloader,url,http://www.alldomaininfo.com/8C03C/fuck_niggers_92.hta
VBS Downloader,sha256, 3e79102274c5d3a079fb0a70e2dfb616196ec82125e62b38c3f071bd431526f0
Payload,url,https://medino.co.in/khgqz/22PAG1/MxOMekkklgbtq.bin
Payload,sha256,ee14add8eb5342d6c672dbff573b0737ac4f718f06d2881f9d319e6c806db770
Payload,url,https://daftar.site/ANASOO/ZqpHydykkkklgbtq.bin
Payload,sha256,752cc527d4c57db8e25158c476c2cc059c688d68b869428f1c5fce651e47a4b2
Payload,url,https://daftar.site/HEQ1AL/XsjhBjOkmtkkklgbtq.bin
Payload,sha256,4e41e0a0750125693aeadde94e11f23f9b29a81b26b41463117bd39d19374f84
Payload,url,http://cucsur.udgvirtual.udg.mx/oa/2020/SisTur/71P2/LKgrPRYhxVYkkklgbtq.bin
Payload,sha256,c4ac66cd26e9c6880438022aba95a5cfe87fe47ecc326c2f1d508a036476ad60
Payload,url,https://daftar.site/DIIZ/aXXjQAZugmfgEvkkklgbtq.bin
Payload,sha256,59b90c2d9f7732201c2f5498de46accdc545fe34a165bcbba4bd1fb304e3033e
VBS Downloader,url,http://www.alldomaininfo.com/18CKF/fuck_niggers_36.hta
VBS Downloader,sha256, e5d97040d3bd529706b8377bfee402a4911f595bd848773c842eaf346da8a48c
Payload,url,https://daftar.site/2OGD3I/quOlQvWRSYkkklgbtq.bin
Payload,sha256,cf8500d31246c32f2437a84301d0c5de9bfcae445b60fc1bd87d62899f470cc7
Payload,url,https://bpnjabar.tams-app.com/Q6FP/EvVGQtOtkSGFPkkklgbtq.bin
Payload,sha256,3394af8c2d60ee3c2035e59e18b9ca3a907aa9f02e946e61026e78abaee27af7
Payload,url,http://ioa.sool3.com.ar/greybox/YJQ/nEPSFGibBtIZkkklgbtq.bin
Payload,sha256,e5607a5a103d6bc04f97ffdeea63ba4629a6f99d55d89d2b2047e6d61c539357
Payload,url,https://bpnjabar.tams-app.com/ORJK/aFdSeScbEjutAhokkklgbtq.bin
Payload,sha256,e94952392e6d98a4263907ae825372ebda1f9208e2478efcfbdb7ae8e90c5582
Payload,url,https://preusz.com/Y6E/lAEJRQoZtqYkkklgbtq.bin
Payload,sha256,2ed4c30203ad5091fac0cb694f5dca3af5a591e0de6a56a0dfb51f20ba82fbc9
VBS Downloader,url,http://www.alldomaininfo.com/RS3/fuck_niggers_42.hta
VBS Downloader,sha256, adb8dc80b8e2ad7b7042a7c933c0e5abf226d4407ca7bfca7fad7b21e65680f4
Payload,url,https://daftar.site/YTTCE/VYVNqLNFQDkkklgbtq.bin
Payload,sha256,3739d6dfdd6a52951b2a44b2b1c5d0f9486c2df83b789d7e7ab76264d2d5dcde
Payload,url,http://csminas.ddns.net/W6G/FBAuWkkklgbtq.bin
Payload,sha256,a88a99b1942bc792d14711ebd755deb0a47cc3e295ac75937478db03b784b5df
Payload,url,http://csminas.ddns.net/CXEM/nqpjOVMESUgnUCkkklgbtq.bin
Payload,sha256,38796a89ff94fbae83d2be42eac45f980c3f0c5e1aeb11079c027827f617c04c
Payload,url,http://skyviewonlineltd.com/KX21XM/ilfwuakkklgbtq.bin
